Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
939448,Bank account or service,Savings account,"Account opening, closing, or management",,NY,11566,Phone,7/16/2014,7/21/2014,Santander Bank US,Closed with monetary relief,Yes,No
939475,Bank account or service,Checking account,Deposits and withdrawals,,MD,21212,Phone,7/16/2014,7/21/2014,M&T Bank,Closed with explanation,Yes,No
939520,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32958,Phone,7/16/2014,7/21/2014,JPMorgan Chase,Closed with explanation,Yes,No
939521,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32958,Phone,7/16/2014,9/16/2014,Capital One,Closed with explanation,Yes,No
939523,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,CT,6880,Fax,7/16/2014,7/21/2014,HSBC,Closed with explanation,Yes,No
939527,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,CA,90045,Phone,7/16/2014,7/21/2014,JPMorgan Chase,Closed with explanation,Yes,No
939554,Bank account or service,Checking account,"Account opening, closing, or management",,PA,19006,Postal mail,7/16/2014,7/21/2014,Wells Fargo,Closed with explanation,Yes,No
939571,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NV,,Web,7/16/2014,7/16/2014,Wells Fargo,Closed with explanation,Yes,No
939576,Bank account or service,Checking account,Deposits and withdrawals,,NY,11378,Phone,7/16/2014,7/21/2014,Santander Bank US,Closed,Yes,No
939589,Bank account or service,Checking account,Deposits and withdrawals,,NJ,7644,Referral,7/16/2014,7/21/2014,JPMorgan Chase,Closed with monetary relief,Yes,No
939600,Bank account or service,Checking account,Problems caused by my funds being low,,VA,22079,Phone,7/16/2014,7/21/2014,Wells Fargo,Closed with explanation,Yes,No
939644,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,94801,Web,7/16/2014,7/16/2014,Citibank,Closed with explanation,Yes,No
939731,Bank account or service,Checking account,Problems caused by my funds being low,,FL,33326,Web,7/16/2014,7/16/2014,TD Bank,Closed with monetary relief,Yes,No
939780,Bank account or service,Checking account,"Account opening, closing, or management",,FL,33704,Phone,7/16/2014,7/21/2014,Bank of America,Closed with monetary relief,Yes,No
939881,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,93067,Phone,7/16/2014,7/21/2014,U.S. Bancorp,Closed with monetary relief,Yes,No
939966,Bank account or service,Checking account,"Account opening, closing, or management",,NJ,8701,Phone,7/16/2014,7/22/2014,Bank of America,Closed with monetary relief,Yes,No
940152,Bank account or service,Other bank product/service,"Account opening, closing, or management",,PA,18702,Web,7/16/2014,7/16/2014,JPMorgan Chase,Closed with explanation,Yes,Yes
940295,Bank account or service,Checking account,"Account opening, closing, or management",,MI,49202,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with explanation,Yes,No
940328,Bank account or service,Other bank product/service,"Account opening, closing, or management",,MD,20774,Referral,7/16/2014,7/22/2014,SunTrust Bank,Closed with explanation,Yes,No
940357,Bank account or service,Checking account,Deposits and withdrawals,,FL,33334,Referral,7/16/2014,7/22/2014,Regions,Closed with explanation,Yes,No
940364,Bank account or service,Checking account,Deposits and withdrawals,,NY,11374,Referral,7/16/2014,7/22/2014,JPMorgan Chase,Closed with monetary relief,Yes,No
940376,Bank account or service,Other bank product/service,Deposits and withdrawals,,OH,43202,Referral,7/16/2014,7/22/2014,Wells Fargo,Closed with explanation,Yes,No
940381,Bank account or service,Checking account,Problems caused by my funds being low,,TX,75067,Referral,7/16/2014,7/22/2014,Regions,Closed with explanation,Yes,No
940409,Bank account or service,Checking account,Deposits and withdrawals,,CA,92301,Phone,7/16/2014,7/22/2014,JPMorgan Chase,Closed with explanation,Yes,No
940472,Bank account or service,Checking account,Using a debit or ATM card,,CA,91352,Referral,7/16/2014,7/22/2014,Citibank,Closed with explanation,Yes,Yes
